구분,시도,용도,차종,유종,일평균주행거리
654,서울,비사업용,승용차 일반형,휘발유,19.00404313
655,서울,비사업용,승용차 일반형,휘발유,39.74833555
656,경기,비사업용,승용차 일반형,휘발유,61.41192788
657,서울,비사업용,승용차 일반형,휘발유,20.4972973
658,서울,비사업용,승용차 일반형,휘발유,10.01771117
659,서울,비사업용,승용차 일반형,휘발유,80.31284153
660,경기,비사업용,승용차 일반형,휘발유,49.48344371
661,경기,비사업용,승용차 일반형,휘발유,47.55342466
662,인천,비사업용,승용차 일반형,휘발유,37.02663116
663,대구,비사업용,승용차 일반형,휘발유,34.53217158
664,경기,비사업용,승용차 일반형,휘발유,25.05080935
665,경기,비사업용,승용차 일반형,휘발유,15.6128591
666,대전,비사업용,승용차 일반형,휘발유,24.45013477
667,서울,비사업용,승용차 일반형,휘발유,12.71008403
668,경남,비사업용,승용차 일반형,휘발유,33.80446927
669,서울,비사업용,승용차 일반형,휘발유,63.93386243
670,경남,비사업용,승용차 다목적형,휘발유,33.07230559
671,인천,비사업용,승용차 일반형,휘발유,36.24965517
672,경기,비사업용,승용차 일반형,휘발유,30.64276569
673,부산,비사업용,승용차 일반형,휘발유,9.993150685
674,서울,비사업용,승용차 일반형,휘발유,7.375328084
675,서울,비사업용,승용차 일반형,휘발유,32.45124541
676,부산,비사업용,승용차 일반형,휘발유,5.962237762
677,서울,비사업용,승용차 일반형,휘발유,43.49530201
678,전북,비사업용,승용차 일반형,휘발유,39.12164074
679,서울,비사업용,승용차 일반형,휘발유,12.25274725
680,서울,비사업용,승용차 일반형,휘발유,23.51680672
681,충남,비사업용,승용차 일반형,휘발유,27.70251397
682,경기,비사업용,승용차 일반형,휘발유,53.06139154
683,경기,비사업용,승용차 일반형,휘발유,23.56449376
684,서울,비사업용,승용차 일반형,휘발유,22.85298197
685,서울,비사업용,승용차 일반형,휘발유,45.45064378
686,세종,비사업용,승용차 일반형,휘발유,39.9501385
687,경기,비사업용,승용차 일반형,휘발유,35.42816092
688,경기,비사업용,승용차 일반형,휘발유,29.29532967
689,경기,비사업용,승용차 일반형,휘발유,9.490463215
690,서울,비사업용,승용차 일반형,휘발유,24.94693878
691,서울,비사업용,승용차 일반형,휘발유,7.804676754
692,서울,비사업용,승용차 일반형,휘발유,14.83736559
693,경기,비사업용,승용차 일반형,휘발유,39.74206897
694,경기,비사업용,승용차 일반형,휘발유,69.03136763
695,대구,비사업용,승용차 일반형,휘발유,48.34672021
696,부산,비사업용,승용차 일반형,휘발유,26.05861665
697,서울,비사업용,승용차 일반형,휘발유,18.4895288
698,서울,비사업용,승용차 일반형,휘발유,13.10612245
699,경기,비사업용,승용차 일반형,휘발유,66.13387978
700,충북,비사업용,승용차 일반형,휘발유,22.09536424
701,경기,비사업용,승용차 일반형,휘발유,22.84666667
702,경기,비사업용,승용차 일반형,휘발유,46.03888889
703,경기,비사업용,승용차 일반형,휘발유,40.74485597
704,서울,비사업용,승용차 일반형,휘발유,11.03871829
705,서울,비사업용,승용차 일반형,휘발유,26.0599455
706,서울,비사업용,승용차 일반형,휘발유,27.69872702
707,서울,비사업용,승용차 일반형,휘발유,14.06911142
708,광주,비사업용,승용차 일반형,휘발유,35.8731444
709,경기,비사업용,승용차 일반형,휘발유,32.49108368
710,경기,비사업용,승용차 일반형,휘발유,48.89943343
711,경기,비사업용,승용차 일반형,휘발유,18.37756498
712,서울,비사업용,승용차 일반형,휘발유,28.70262794
713,충북,비사업용,승용차 일반형,휘발유,70.15864759
714,충북,비사업용,승용차 일반형,휘발유,50.77593361
715,경기,비사업용,승용차 일반형,휘발유,32.79470199
